P Frame: size=28874,  delay=90, sendms=74110504, recvms=74110594, md5=4cddf43329e7dcc04e65f33c4a1f3207,
P Frame: size=28305,  delay=90, sendms=74110539, recvms=74110629, md5=7ad135c371e98d8a75c489c53b1ac8fa,
P Frame: size=28856,  delay=89, sendms=74110574, recvms=74110663, md5=51a15480990e32b22eaff800efcc23cc,
P Frame: size=28194,  delay=91, sendms=74110606, recvms=74110697, md5=c5c4e0ef26db09e97923eefd704faa55,
P Frame: size=28330,  delay=89, sendms=74110642, recvms=74110731, md5=8affc4f74ee8fb35a52b74436356c26c,
P Frame: size=28078,  delay=88, sendms=74110676, recvms=74110764, md5=472ffff9db034debbce18a3a96d5d44a,
P Frame: size=26090,  delay=88, sendms=74110709, recvms=74110797, md5=afc52d18de7007d2e0ce8326d500e951,
P Frame: size=23042,  delay=88, sendms=74110743, recvms=74110831, md5=7b60abd98a9784fc8a54c602171f595a,
P Frame: size=29462,  delay=88, sendms=74110778, recvms=74110866, md5=b905c84320ee4405dc9b83e455027d31,
P Frame: size=27956,  delay=86, sendms=74110813, recvms=74110899, md5=15abbe0659e7dc034151b680030383d1,
P Frame: size=28208,  delay=85, sendms=74110849, recvms=74110934, md5=9d9329d4525541063c6ad76dfcae2392,
P Frame: size=28009,  delay=87, sendms=74110881, recvms=74110968, md5=9286946fc49028fcb61537da5a41fb34,
P Frame: size=26984,  delay=86, sendms=74110916, recvms=74111002, md5=6fc169176ce07b38b2db385c21f69b71,
P Frame: size=26577,  delay=87, sendms=74110949, recvms=74111036, md5=370a8044240c9889f1418ff4b797cc45,
P Frame: size=26639,  delay=87, sendms=74110984, recvms=74111071, md5=a3b7832a488c2165bb72c618a053578b,
P Frame: size=23727,  delay=88, sendms=74111016, recvms=74111104, md5=67317769a4999b74142ec12cf7676673,
P Frame: size=28487,  delay=86, sendms=74111052, recvms=74111138, md5=f84c0b34f9086a25ad2977829a384599,
P Frame: size=28601,  delay=87, sendms=74111086, recvms=74111173, md5=4c5fbf3e996aa56dd5a1ba810df1a8ce,
P Frame: size=27791,  delay=86, sendms=74111120, recvms=74111206, md5=46eb73849d3d114fc3d2132a974ab776,
P Frame: size=27821,  delay=87, sendms=74111154, recvms=74111241, md5=40e0b483b867650c889da4ec8654474b,
P Frame: size=28797,  delay=87, sendms=74111187, recvms=74111274, md5=23481bd2b87ffbf7324e40e0a473dbd9,
P Frame: size=27584,  delay=87, sendms=74111221, recvms=74111308, md5=c82eb77818e68cf39d61438db399c6ff,
P Frame: size=27506,  delay=86, sendms=74111256, recvms=74111342, md5=070620ecfe5c3d83636a46bda1f64f97,
P Frame: size=25860,  delay=86, sendms=74111290, recvms=74111376, md5=caef9af15d2cfd593ece56e6c1891762,
P Frame: size=29873,  delay=85, sendms=74111325, recvms=74111410, md5=907b70be7113482c6a871db9245c3077,
P Frame: size=29555,  delay=84, sendms=74111360, recvms=74111444, md5=be20336cd08e00d0e986a6d53b2a2904,
P Frame: size=29591,  delay=84, sendms=74111394, recvms=74111478, md5=4e9a034cd99903f156ea421aec8872a9,
P Frame: size=29098,  delay=85, sendms=74111427, recvms=74111512, md5=b3254aae19f974e09ca07517f0e42c71,
P Frame: size=29145,  delay=85, sendms=74111462, recvms=74111547, md5=453bedf98e89731e25e183e5bf88c849,
P Frame: size=28658,  delay=86, sendms=74111495, recvms=74111581, md5=7f7cdcdd7fbd5d1602230303c79ee6c9,
P Frame: size=27801,  delay=86, sendms=74111529, recvms=74111615, md5=8ea4d4428c27a9fbe18a4ea6407cb927,
P Frame: size=29695,  delay=86, sendms=74111564, recvms=74111650, md5=308a8e006934a24030d0d14ac3bd7a19,
P Frame: size=29402,  delay=87, sendms=74111597, recvms=74111684, md5=006aab1a0eeffd37118530cbfcf4d62b,
P Frame: size=30975,  delay=85, sendms=74111631, recvms=74111716, md5=77e8cccf193801d3c7d928992ef5d8c1,
P Frame: size=31059,  delay=86, sendms=74111666, recvms=74111752, md5=cff8dd526193faac5db661d81f0013dc,
I Frame: size=113567,  delay=182, sendms=74111705, recvms=74111887, md5=26a7ae3d59d3d2e7a393ee9b48677f82,
P Frame: size=17730,  delay=171, sendms=74111742, recvms=74111913, md5=a44231f600c7f2c7c1cd3aeda41f83e8,
P Frame: size=14022,  delay=154, sendms=74111779, recvms=74111933, md5=5c2b14a4a9ab6c9a7810abed806d4249,
P Frame: size=14410,  delay=156, sendms=74111798, recvms=74111954, md5=6ac54502c1bf91b7ce02974f40870e78,
P Frame: size=14488,  delay=141, sendms=74111835, recvms=74111976, md5=5a2686d4b252ef529493a5efe1586c00,
P Frame: size=14229,  delay=130, sendms=74111867, recvms=74111997, md5=8c89af6d437756cc482999f7e8d2f1a5,
P Frame: size=14419,  delay=120, sendms=74111902, recvms=74112022, md5=7f9340c462da33c7f7bd6a7c0105a262,
P Frame: size=14557,  delay=106, sendms=74111936, recvms=74112042, md5=17927e76ed85dcba783183aafbaa78b6,
P Frame: size=19020,  delay=100, sendms=74111973, recvms=74112073, md5=5b815324d192aeb505e1ad1e3d6951d8,
P Frame: size=20656,  delay=101, sendms=74112005, recvms=74112106, md5=50a4a1fd7ed58eb1178df9b6e53ad885,
P Frame: size=20854,  delay=100, sendms=74112041, recvms=74112141, md5=2999bcfbcd50f263c1a67e2931bdff84,
P Frame: size=20542,  delay=104, sendms=74112073, recvms=74112177, md5=9234dd9bf4bd8498fc17b65c9f96b092,
P Frame: size=19278,  delay=102, sendms=74112110, recvms=74112212, md5=1d660a4c17dc2e3bead39b7aed7be8fe,
P Frame: size=19048,  delay=103, sendms=74112143, recvms=74112246, md5=21c8c52d3f525d95d9d46973af3bb629,
P Frame: size=18635,  delay=103, sendms=74112177, recvms=74112280, md5=ea257bc9bf3a0161015c6e638da973e8,
P Frame: size=16043,  delay=106, sendms=74112209, recvms=74112315, md5=4762cf4442d8395e9dde8241dcad722d,
P Frame: size=22697,  delay=103, sendms=74112247, recvms=74112350, md5=22adc9735e8e6709e03d8167e9de94b0,
P Frame: size=23284,  delay=105, sendms=74112278, recvms=74112383, md5=c85005f222f08a368cf53f4cf584df22,
P Frame: size=22032,  delay=104, sendms=74112314, recvms=74112418, md5=89d9bb647940f16f5a0733fc5eaa1745,
P Frame: size=21658,  delay=105, sendms=74112347, recvms=74112452, md5=fe90984f2a1170005eed586d288f67e3,
P Frame: size=22056,  delay=104, sendms=74112382, recvms=74112486, md5=916420f471dbf884c7dec72f598a4c79,
